      [,1]  [,2]  [,3]  [,4]
 [1,]    1  6400 25281 56644
 [2,]    4  6561 25600 57121
 [3,]    9  6724 25921 57600
 [4,]   16  6889 26244 58081
 [5,]   25  7056 26569 58564
 [6,]   36  7225 26896 59049
 [7,]   49  7396 27225 59536
 [8,]   64  7569 27556 60025
 [9,]   81  7744 27889 60516
[10,]  100  7921 28224 61009
[11,]  121  8100 28561 61504
[12,]  144  8281 28900 62001
[13,]  169  8464 29241 62500
[14,]  196  8649 29584 63001
[15,]  225  8836 29929 63504
[16,]  256  9025 30276 64009
[17,]  289  9216 30625 64516
[18,]  324  9409 30976 65025
[19,]  361  9604 31329 65536
[20,]  400  9801 31684 66049
[21,]  441 10000 32041 66564
[22,]  484 10201 32400 67081
[23,]  529 10404 32761 67600
[24,]  576 10609 33124 68121
[25,]  625 10816 33489 68644
[26,]  676 11025 33856 69169
[27,]  729 11236 34225 69696
[28,]  784 11449 34596 70225
[29,]  841 11664 34969 70756
[30,]  900 11881 35344 71289
[31,]  961 12100 35721 71824
[32,] 1024 12321 36100 72361
[33,] 1089 12544 36481 72900
[34,] 1156 12769 36864 73441
[35,] 1225 12996 37249 73984
[36,] 1296 13225 37636 74529
[37,] 1369 13456 38025 75076
[38,] 1444 13689 38416 75625
[39,] 1521 13924 38809 76176
[40,] 1600 14161 39204 76729
[41,] 1681 14400 39601 77284
[42,] 1764 14641 40000 77841
[43,] 1849 14884 40401 78400
[44,] 1936 15129 40804 78961
[45,] 2025 15376 41209 79524
[46,] 2116 15625 41616 80089
[47,] 2209 15876 42025 80656
[48,] 2304 16129 42436 81225
[49,] 2401 16384 42849 81796
[50,] 2500 16641 43264 82369
[51,] 2601 16900 43681 82944
[52,] 2704 17161 44100 83521
[53,] 2809 17424 44521 84100
[54,] 2916 17689 44944 84681
[55,] 3025 17956 45369 85264
[56,] 3136 18225 45796 85849
[57,] 3249 18496 46225 86436
[58,] 3364 18769 46656 87025
[59,] 3481 19044 47089 87616
[60,] 3600 19321 47524 88209
[61,] 3721 19600 47961 88804
[62,] 3844 19881 48400 89401
[63,] 3969 20164 48841 90000
[64,] 4096 20449 49284 90601
[65,] 4225 20736 49729 91204
[66,] 4356 21025 50176 91809
[67,] 4489 21316 50625 92416
[68,] 4624 21609 51076 93025
[69,] 4761 21904 51529 93636
[70,] 4900 22201 51984 94249
[71,] 5041 22500 52441 94864
[72,] 5184 22801 52900 95481
[73,] 5329 23104 53361 96100
[74,] 5476 23409 53824 96721
[75,] 5625 23716 54289 97344
[76,] 5776 24025 54756 97969
[77,] 5929 24336 55225 98596
[78,] 6084 24649 55696 99225
[79,] 6241 24964 56169 99856
